,0
1019,14284
1020,8960
1021,13516
1022,17008
1023,13304
1024,14808
1025,16472
1026,13876
1027,12876
1028,16332
1029,20212
1030,26752
1031,16328
1032,20248
1033,27624
1034,23912
1035,20532
1036,19480
1037,14716
1038,19740
1039,7324
1040,11984
1041,23632
1042,24004
1043,9648
1044,15460
1045,15032
1046,6148
1047,8836
1048,23404
1049,16984
1050,21620
1051,15172
1052,18620
1053,16056
1054,17172
1055,8644
1056,20036
1057,26452
1058,9856
1059,9236
1060,17296
1061,25120
1062,13152
1063,9052
1064,11264
1065,17936
1066,17836
1067,29792
1068,22848
1069,9156
1070,26540
1071,10012
1072,14416
1073,8952
1074,25260
1075,5240
1076,9648
1077,7744
1078,27632
1079,18044
1080,23644
1081,15080
1082,28664
1083,32500
1084,7164
1085,19336
1086,18872
1087,22356
1088,9808
1089,16452
1090,20768
1091,12384
1092,10424
1093,20384
1094,9452
1095,8472
1096,13228
1097,25268
1098,31124
1099,15600
1100,21688
1101,17480
1102,17788
1103,9128
1104,8864
1105,23468
1106,16056
1107,32168
1108,27384
1109,7500
1110,16204
1111,7828
1112,7220
1113,19192
1114,12368
1115,17316
1116,12928
1117,8828
1118,15440
1119,9232
1120,20232
1121,27932
1122,26836
1123,8064
1124,7252
1125,8340
1126,10192
1127,27200
1128,12500
1129,16092
1130,14764
1131,21852
1132,20652
1133,14840
1134,13520
1135,11676
1136,16776
1137,26720
1138,15116
1139,14296
1140,12308
1141,35288
1142,5988
1143,8028
1144,8912
1145,17404
1146,8188
1147,7180
1148,7808
1149,22436
1150,16100
1151,13896
1152,22584
1153,29196
1154,4420
1155,32596
1156,13288
1157,6820
1158,12412
1159,5876
1160,13108
1161,10648
1162,12636
1163,18600
1164,20252
1165,16376
1166,8140
1167,13552
1168,28308
1169,15104
1170,29340
1171,25680
1172,14876
1173,17188
1174,21168
1175,1660
1176,17172
1177,18020
1178,17424
1179,8596
1180,16068
1181,2892
1182,8880
1183,8084
1184,6332
1185,3716
1186,25988
1187,20612
1188,16036
1189,18684
1190,33428
1191,12320
1192,3872
1193,26484
1194,15116
1195,16128
1196,17364
1197,8836
1198,11832
1199,16860
1200,11136
1201,13480
1202,28272
1203,8992
1204,9284
1205,22052
1206,12184
1207,12616
1208,17576
1209,17636
1210,8316
1211,5420
1212,9604
1213,7016
1214,15564
1215,13276
1216,12920
1217,9032
1218,5612
1219,20184
1220,9904
1221,9856
1222,12112
1223,17148
1224,17216
1225,6488
1226,17188
1227,17084
1228,15404
1229,14576
1230,16784
1231,7424
1232,13220
1233,15556
1234,13092
1235,31544
1236,24940
1237,8196
1238,22228
1239,13592
1240,5980
1241,7196
1242,27900
1243,8188
1244,18740
1245,18132
1246,7796
1247,30216
1248,13236
1249,7088
1250,8052
1251,19548
1252,34132
1253,16712
1254,14612
1255,7120
1256,16980
1257,7604
1258,10416
1259,14812
1260,16028
1261,15092
1262,11920
1263,13796
1264,7352
1265,27488
1266,17240
1267,24020
1268,12348
1269,16144
1270,16740
1271,15208
1272,12012
1273,15264
1274,23024
1275,18628
1276,10568
1277,18088
1278,17028
1279,14156
1280,18548
1281,8176
