,0
1344,512
1345,512
1346,512
1347,1024
1348,512
1349,1024
1350,512
1351,1024
1352,1024
1353,1024
1354,1024
1355,2048
1356,2048
1357,1024
1358,256
1359,512
1360,512
1361,512
1362,512
1363,1024
1364,512
1365,1024
1366,1024
1367,512
1368,512
1369,512
1370,512
1371,1024
1372,1024
1373,2048
1374,256
1375,2048
1376,512
1377,512
1378,512
1379,2048
1380,512
1381,2048
1382,1024
1383,1024
1384,1024
1385,1024
1386,2048
1387,1024
1388,1024
1389,2048
1390,1024
1391,1024
1392,1024
1393,2048
1394,1024
1395,1024
1396,1024
1397,512
1398,512
1399,2048
1400,1024
1401,512
1402,1024
1403,512
1404,512
1405,1024
1406,2048
1407,512
1408,512
1409,1024
1410,2048
1411,512
1412,1024
1413,2048
1414,2048
1415,512
1416,1024
1417,512
1418,256
1419,2048
1420,1024
1421,512
1422,1024
1423,512
1424,2048
1425,1024
1426,1024
1427,512
1428,256
1429,128
1430,512
1431,256
1432,1024
1433,2048
1434,1024
1435,512
1436,2048
1437,4096
1438,2048
1439,512
1440,256
1441,256
1442,256
1443,512
1444,1024
1445,512
1446,2048
1447,512
1448,512
1449,512
1450,256
1451,512
1452,512
1453,1024
1454,512
1455,2048
1456,1024
1457,2048
1458,512
1459,2048
1460,512
1461,1024
1462,1024
1463,1024
1464,256
1465,2048
1466,512
1467,512
1468,512
1469,512
1470,1024
1471,1024
1472,512
1473,512
1474,256
1475,1024
1476,1024
1477,512
1478,512
1479,1024
1480,512
1481,512
1482,512
1483,1024
1484,1024
1485,1024
1486,1024
1487,2048
1488,1024
1489,2048
1490,1024
1491,1024
1492,1024
1493,2048
1494,2048
1495,512
1496,512
1497,512
1498,512
1499,1024
1500,1024
1501,2048
1502,1024
1503,1024
1504,2048
1505,512
1506,512
1507,1024
1508,512
1509,1024
1510,512
1511,1024
1512,2048
1513,2048
1514,1024
1515,1024
1516,1024
1517,1024
1518,512
1519,1024
1520,512
1521,1024
1522,1024
1523,1024
1524,512
1525,1024
1526,2048
1527,256
1528,512
1529,1024
1530,2048
1531,1024
1532,256
1533,1024
1534,1024
1535,1024
1536,1024
1537,1024
1538,512
1539,1024
1540,1024
1541,256
1542,512
1543,1024
1544,2048
1545,2048
1546,256
1547,2048
1548,1024
1549,1024
1550,512
1551,2048
1552,512
1553,2048
1554,256
1555,512
1556,1024
1557,1024
1558,1024
1559,256
1560,1024
1561,256
1562,1024
1563,1024
1564,1024
1565,1024
1566,2048
1567,1024
1568,1024
1569,1024
1570,256
1571,2048
1572,2048
1573,1024
1574,512
1575,1024
1576,512
1577,128
1578,512
1579,512
1580,512
1581,1024
1582,512
1583,1024
1584,2048
1585,1024
1586,2048
1587,512
1588,1024
1589,512
1590,1024
1591,512
1592,1024
1593,1024
1594,1024
1595,1024
1596,1024
1597,2048
1598,512
1599,512
1600,1024
1601,1024
1602,512
1603,512
1604,256
1605,512
1606,512
1607,1024
1608,1024
1609,1024
1610,2048
1611,1024
1612,2048
1613,2048
1614,1024
1615,1024
1616,1024
1617,512
1618,1024
1619,512
1620,2048
